step,time_ps,signed_volume_nm3,improper_deg,potential_kj_mol
34000,34.0,0.0026384511280694713,34.62928493128048,339.5734036921971
35000,35.0,0.002682099953393428,35.07347063028253,328.30977494203813
36000,36.0,0.002547906065804189,34.554579834880194,335.1958396433903
37000,37.0,0.002536456999776672,32.04157990470478,336.24693688073705
38000,38.0,0.0024576345501743126,32.38408665982537,326.9176255321746
39000,39.0,0.002559647400467377,32.21026072357804,340.3527637560877
40000,40.0,0.002247128744766625,30.80441065865003,357.8520524163977
41000,41.0,0.002468224926263107,33.054004468226374,335.53903865315056
42000,42.0,0.0026788113786415067,34.477439088550526,334.1970341604607
43000,43.0,0.0026192330424833,33.68274043643347,326.83905121450607
44000,44.0,0.0025769304953815655,32.170442020188574,348.17492741282604
45000,45.0,0.0025647598645098754,33.80463693701389,342.99983219902646
46000,46.0,0.002489077087363931,33.02798212021849,335.43195322694856
47000,47.0,0.002409768532287019,33.73465210234898,339.51516336340353
48000,48.0,0.0020676234999121123,25.739565664213394,371.2047019977915
49000,49.0,0.002290444861013332,33.561429945270554,379.0074053717624
50000,50.0,0.002152965420731939,28.963400046897235,349.0025716334358
51000,51.0,0.0023697839322645415,32.68028790142098,348.90371211036575
52000,52.0,0.002821730523388467,33.747878362469585,344.4970943224215
53000,53.0,0.0024618454450453667,33.68917918111299,335.9771604933907
54000,54.0,0.0021968005789864556,31.104220654672954,337.1239930145482
55000,55.0,0.00239640825188284,31.00412177573542,325.86706210337786
56000,56.0,0.0023071352397264766,31.726499743364638,340.80397962249043
57000,57.0,0.0026026002179042555,34.98710916361465,363.067681985866
58000,58.0,0.002270923103586025,31.25436455799951,354.61310620689557
59000,59.0,0.002869784915985033,35.559775166315816,352.7069644046173
60000,60.0,0.0026853723191816153,34.487370361504425,355.01458057578924
61000,61.0,0.002368635308837546,31.65089572454433,372.8209137015728
62000,62.0,0.002812937939724463,37.058596609472076,362.5194126018164
63000,63.0,0.0025671735293583487,34.76239671231363,331.99950339411083
64000,64.0,0.002641575982561619,31.459852095349667,346.4512605882379
65000,65.0,0.0022613344651435793,33.13057538246952,326.8024345724085
66000,66.0,0.002504931552533287,30.183730719164007,336.9802226347652
67000,67.0,0.002669171171908363,34.20228023579673,352.1231075514435
68000,68.0,0.002309191385181913,30.20222602002706,342.6438447698195
69000,69.0,0.002443587251688464,31.32385688649403,323.1788826570916
70000,70.0,0.0027577610721155636,35.07057805331085,332.35991940254894
71000,71.0,0.0025029257805381532,33.85307498090044,352.61707253115685
72000,72.0,0.0024264649890161014,34.48548860342435,349.54480896983137
73000,73.0,0.0022423617972914503,30.81855079032812,337.94891226019365
74000,74.0,0.002624706056214136,34.38552073095733,367.9248129972157
75000,75.0,0.0024919395764859092,32.233759130740516,342.8802601678408
76000,76.0,0.002194426599333672,29.946686059860706,333.75941669437105
77000,77.0,0.0023045486041637217,31.16291041063746,343.68508016468434
78000,78.0,0.0019805725318946853,26.41274151213464,358.02388672119855
79000,79.0,0.002434269127129048,33.8129836353046,372.57965176553637
80000,80.0,0.0022852388679642246,33.035325453762255,347.01433956906317
81000,81.0,0.0022306183505474294,31.037208553385746,346.8543325188206
82000,82.0,0.002497018586692862,34.12107701967402,344.00648812697676
83000,83.0,0.0023228536655300015,30.332918689330466,359.927444602858
84000,84.0,0.002288860420728744,31.26847045357738,391.8976278323959
85000,85.0,0.0025449385835841273,34.81985091722188,347.20408341061955
86000,86.0,0.0025918796472053974,32.383965875569,354.34396840719353
87000,87.0,0.0024996240331563923,34.95462770821276,354.626611176233
88000,88.0,0.002530548429012907,31.602295690039465,332.0923443457078
89000,89.0,0.002540745746239465,32.8338920412365,329.68489297542396
90000,90.0,0.0024243854503912666,32.435674821863635,336.1675866151056
91000,91.0,0.0023386301276305923,32.83020634973515,332.0171532510982
92000,92.0,0.002443829241591174,31.618298190346685,327.6091892530284
93000,93.0,0.0025173137367617807,29.443269764429214,324.0367753891745
94000,94.0,0.002629114160878347,36.21674170774792,343.0881170690901
95000,95.0,0.0025155425176948618,31.686422812828134,319.4904559595152
96000,96.0,0.002568710143686096,33.51801497443197,329.9403883026751
