step,time_ps,signed_volume_nm3,improper_deg,potential_kj_mol
37000,37.0,-0.002351808432314699,34.42318955775052,335.3984080243378
38000,38.0,-0.0026031921602972163,34.366697102124405,329.13059806273066
39000,39.0,-0.0022745893767610924,31.350923563017496,330.39301256880765
40000,40.0,-0.002667395089543248,35.513765354954884,316.4025794745708
41000,41.0,-0.0022341542862083473,33.942985916451725,351.7939675992402
42000,42.0,-0.002571681104321314,33.568516711500266,344.38149985982653
43000,43.0,-0.002542925585931017,35.3072240603109,335.37109748930516
44000,44.0,-0.0025510463996390727,33.83143753921025,320.6344532404445
45000,45.0,-0.0025316121383621034,35.551296602778294,321.23723912966
46000,46.0,-0.0026571905947661194,32.11766272398983,341.6324262059695
47000,47.0,-0.0022897764615132424,31.672286894418892,334.6084899354919
48000,48.0,-0.0026465344683708047,30.08191346761844,340.26119745055956
49000,49.0,-0.00252590052490435,33.89096689906409,309.84875557822505
50000,50.0,-0.0024654551582003453,31.98126032067823,322.64040752267294
51000,51.0,-0.0024576595093192028,32.377849734336834,333.76443229491076
52000,52.0,-0.00252204690529754,37.17260872838354,332.10757695550546
53000,53.0,-0.0025163213144579776,29.497534804185488,322.4941186014006
54000,54.0,-0.0024016224239850137,30.28938544867479,332.6108248345513
55000,55.0,-0.0026486517574115724,32.72595577744095,321.20300710085303
56000,56.0,-0.0022182788212038104,28.480311912623744,315.48054193719327
57000,57.0,-0.002243011022112466,31.21064407283106,310.4184814158893
58000,58.0,-0.0023592156257932996,31.267001878899137,318.15349439233427
59000,59.0,-0.0022691485496389397,29.220728785314012,320.02031245576006
60000,60.0,-0.0023197284962967503,31.461224645762204,341.3554204041745
61000,61.0,-0.0027581686147993816,37.55530566604203,315.9001833478609
62000,62.0,-0.0026256538000796834,35.210170338689,322.21290717261337
63000,63.0,-0.0026110725891422314,35.03011613541137,330.9238100349054
64000,64.0,-0.002532379372489346,30.166044545011363,323.43141615480795
65000,65.0,-0.00275479583340552,34.65152893981788,324.50933360766663
66000,66.0,-0.002550389198683529,33.35368469527095,337.52622560570524
67000,67.0,-0.002312926841549523,30.76685917694839,327.4618508405788
68000,68.0,-0.0024710358100311727,31.811953391604796,324.0858520408683
69000,69.0,-0.0023003038226816945,29.314005504796665,335.25890560762605
70000,70.0,-0.0024894589167483963,33.666158659629644,320.45413607817386
71000,71.0,-0.002684134502710671,32.87363195978622,318.4610767474928
72000,72.0,-0.0027009995935626248,34.1175323202782,314.33946852783134
73000,73.0,-0.002387981546250481,33.385512451134744,328.48879129955594
74000,74.0,-0.0024640161474678264,31.993230991617008,326.02420207839725
75000,75.0,-0.0024055116723418167,32.79207336125074,316.7063016024431
76000,76.0,-0.0025074555535614775,32.61747253170194,333.05361191053476
77000,77.0,-0.002164037036506211,28.478248089789993,327.6039087615657
78000,78.0,-0.002396586737547567,29.661381999502694,341.24971760604706
79000,79.0,-0.002862346905609569,33.81818257095156,331.30664788817387
80000,80.0,-0.002565694488208091,34.120567800204306,300.76531944749706
81000,81.0,-0.0023941099002097706,28.92909095769943,304.9702336981787
82000,82.0,-0.0022429134491657367,28.492542512172925,327.69190515140605
83000,83.0,-0.002452082864602188,30.19076217104075,320.46934037555764
84000,84.0,-0.002489406698867166,32.16555427676801,316.1305380859278
85000,85.0,-0.0022540625538700915,30.41258835257493,336.6374279793549
86000,86.0,-0.0022183865887590195,27.101209900744735,339.08765024858593
87000,87.0,-0.0025156609732012013,31.31970840774443,343.6602727629952
88000,88.0,-0.00233159908612211,32.19752706927079,357.2178983747184
89000,89.0,-0.0026147864331972645,33.73743546729815,324.93151106598805
90000,90.0,-0.0026262957168256312,34.46684509508555,323.6742832863813
91000,91.0,-0.0022902133416032857,31.23924391200479,328.12619731058714
92000,92.0,-0.0022882109692761643,30.165537954557923,335.21568870405366
93000,93.0,-0.002560075541679172,34.40130939299901,351.6434305731217
