cycle,time_ps,state,lambda_meso,lambda_threo,selected_probability,energy_selected_kj_mol,meso_signed_volume_nm3,threo_signed_volume_nm3,meso_improper_deg,threo_improper_deg,bias_increment
61,5.61,10,1.0,0.0,0.6459180699768092,-156866.282154722,-0.002237092129812081,0.0025996071276181794,30.081952702074005,28.89705500987818,5.0
62,5.62,9,0.9,0.09999999999999998,0.9133277411749737,-156703.12408343822,-0.002409300456484388,0.0025181136281643085,33.18912385679537,30.202017519489324,5.0
63,5.63,8,0.8,0.19999999999999996,0.5044909195275666,-156584.6832848035,-0.002288350425997054,0.0022535110942983323,32.139826578221715,28.272371408440947,5.0
64,5.64,9,0.9,0.09999999999999998,0.9641867456736863,-156754.45070636875,-0.002057315426924671,0.0023786135300121304,27.62001558517249,30.609978501734066,5.0
65,5.65,9,0.9,0.09999999999999998,0.19714874757782055,-156603.86090680366,-0.0023484455033006327,0.0022785587146810617,31.237066997055667,29.208111321108674,5.0
66,5.66,10,1.0,0.0,0.9961354870259996,-157058.4086837459,-0.002610342178296004,0.0022643506108162457,36.46482062986195,31.04480588014633,5.0
67,5.67,10,1.0,0.0,0.990616556925787,-156954.91615319432,-0.002260195357546847,0.002655292978487714,30.35793047449877,34.9844296892859,5.0
68,5.68,10,1.0,0.0,0.9999966350703079,-156920.02928200155,-0.0022175612067724016,0.0027100396783949817,29.445730552657423,33.72684455540182,5.0
69,5.69,10,1.0,0.0,0.9952754302602786,-156974.78014254465,-0.002260683795383593,0.002711907799037649,30.507279783197788,34.90309505603273,5.0
70,5.7,9,0.9,0.09999999999999998,0.9360196598904853,-156744.13507881606,-0.002467421993924071,0.0022999818358837975,35.44428895761678,31.428725783466977,5.0
71,5.71,8,0.8,0.19999999999999996,0.9536940396868349,-156526.0859532597,-0.002269124591921018,0.0026780917022139012,30.759432371028332,36.99356033153747,5.0
72,5.72,7,0.7000000000000001,0.29999999999999993,0.9991669508455373,-156484.18423981572,-0.002279584258149052,0.002758226340594555,32.81815544070501,38.38078696290241,5.0
73,5.73,7,0.7000000000000001,0.29999999999999993,0.9982330532576786,-156437.43202832434,-0.0024761789572687177,0.0025973849716300077,33.95336832699369,39.19472619090274,5.0
74,5.74,7,0.7000000000000001,0.29999999999999993,0.7864192311291368,-156430.0568624911,-0.002382489527118532,0.0024254148333759497,32.19729857253674,37.43118021529593,5.0
75,5.75,8,0.8,0.19999999999999996,0.9914985060041374,-156608.94810499862,-0.0022052650265067964,0.0025942040314307687,29.73072532812983,39.67721887752263,5.0
76,5.76,8,0.8,0.19999999999999996,0.7645402122090019,-156452.1084202218,-0.0025549926644396134,0.0027434096919566864,34.79274007225395,39.85440715421916,5.0
77,5.77,7,0.7000000000000001,0.29999999999999993,0.5072308524243464,-156515.29777706583,-0.0023962964789953647,0.0024745123535372428,33.724970600326685,35.92648256721402,5.0
78,5.78,9,0.9,0.09999999999999998,0.8843512293606035,-156586.43147340143,-0.002612596369546411,0.0025083174788467196,36.412174319365306,36.090358764473976,5.0
79,5.79,9,0.9,0.09999999999999998,0.5172173956053462,-156647.39341348698,-0.0023193351412248565,0.0026617714934090196,30.664411419243535,38.372955134346036,5.0
80,5.8,10,1.0,0.0,0.9889905219282543,-156995.56386293855,-0.002228614677682346,0.0026500686908960515,31.241220813393138,39.234858996260954,5.0
81,5.81,10,1.0,0.0,0.9898252415094481,-156945.33827966815,-0.002512504136773745,0.0026793037761074297,33.1376507467756,39.000434955627,5.0
82,5.82,10,1.0,0.0,0.9582801206492857,-156928.11630243808,-0.0023376131009963594,0.0025335628556185977,32.24049860782524,35.77278552810883,5.0
83,5.83,9,0.9,0.09999999999999998,0.21299210755490422,-156683.30814197022,-0.002245248792164357,0.0024242741990380167,33.34559021320308,32.919280017741606,5.0
84,5.84,10,1.0,0.0,0.50436013502772,-157058.68735353556,-0.0023052537974541615,0.0027764931536286854,31.032178441615244,34.43986082042003,5.0
85,5.85,8,0.8,0.19999999999999996,0.9936714645132814,-156489.3741676013,-0.002297075176077492,0.002623814219645791,29.733423225257265,31.988242313203422,5.0
86,5.86,7,0.7000000000000001,0.29999999999999993,0.9904223452561827,-156587.53680087632,-0.002571785869799892,0.002283294430023941,35.1431834465515,29.14314988529795,5.0
87,5.87,6,0.6000000000000001,0.3999999999999999,0.9972853431790818,-156389.08848614496,-0.002474332801091057,0.0027507907881417454,31.51774219921852,30.169699689842716,5.0
88,5.88,7,0.7000000000000001,0.29999999999999993,0.8396024816832186,-156435.953171828,-0.0020974647425275905,0.002963855386435027,32.043470119905756,31.415153749393234,5.0
89,5.89,6,0.6000000000000001,0.3999999999999999,0.7333116966566688,-156435.36853087752,-0.0023077235044961543,0.0020785183277641957,33.46033425044105,22.58208851177246,5.0
90,5.9,6,0.6000000000000001,0.3999999999999999,0.61811201569664,-156348.05460650744,-0.0026376780483176173,0.0022087988340128316,34.06463191079259,25.95039560974029,5.0
91,5.91,5,0.5,0.5,0.4465097164137582,-156434.17440066292,-0.002527014963048998,0.002883797016733593,33.68962477976883,30.493411752909942,5.0
92,5.92,4,0.4,0.6,0.05096221105688773,-156302.8858597662,-0.00206147132587818,0.002774283203738127,29.541278940331974,28.455082775843934,5.0
93,5.93,3,0.30000000000000004,0.7,0.5265721732529767,-156335.50494449257,-0.002433575895610126,0.0023009604694509546,35.68923550520021,22.827184758490755,5.0
94,5.94,3,0.30000000000000004,0.7,0.0027917877538488965,-156332.71260964888,-0.0027800042527828185,0.0022314610836938723,36.65441208467206,22.611983738223394,5.0
95,5.95,2,0.2,0.8,0.8921407991095637,-156406.46350546693,-0.0022463155091103798,0.0025032645285115685,30.035569630763526,28.271560368752148,5.0
96,5.96,1,0.1,0.9,0.9999804593800722,-156485.61677542797,-0.0025241031288740327,0.003051042883099295,31.975437741725873,35.02833543086022,5.0
97,5.97,1,0.1,0.9,0.999999402177253,-156332.59690430036,-0.002842163606122999,0.002536287049541986,34.26523320841551,27.888132597927566,5.0
98,5.98,1,0.1,0.9,0.9997363877859863,-156514.07057849568,-0.0021386136004169953,0.002364486824731309,27.771337442454136,25.83293603241672,5.0
99,5.99,1,0.1,0.9,0.998112165386339,-156374.06080909987,-0.0022999761499578,0.002690966429504999,29.08259819891824,25.915127471893694,5.0
100,6.0,1,0.1,0.9,0.9933288426791312,-156389.2312558349,-0.0024849256174655156,0.002445499620895502,34.85736205330138,25.74267089176358,5.0
101,6.01,2,0.2,0.8,0.7762337526039721,-156388.33432775392,-0.0024821171005048282,0.0024210852737955,35.10778276359522,26.78586646723552,5.0
102,6.02,2,0.2,0.8,0.9996107395664305,-156377.4837631704,-0.002385121195663264,0.0028046587770273494,32.44524959227416,29.271392358632973,5.0
103,6.03,5,0.5,0.5,0.5101705921106441,-156399.51919212178,-0.002484835193427573,0.0024907217507526645,32.34335732189022,24.954521230389258,5.0
104,6.04,6,0.6000000000000001,0.3999999999999999,0.8603722475306291,-156318.56935131786,-0.00261931445163794,0.002141247141015829,33.53442066891986,21.78773585346772,5.0
105,6.05,7,0.7000000000000001,0.29999999999999993,0.9794753862147085,-156435.24355435927,-0.0025188491752837997,0.0025083216956687023,34.318364736280635,26.265223139457337,5.0
106,6.06,8,0.8,0.19999999999999996,0.9724777944852772,-156464.76669070142,-0.0025483654195011273,0.003037646376732645,35.57099112672396,30.049232382900207,5.0
107,6.07,8,0.8,0.19999999999999996,0.90579584646516,-156510.73998424213,-0.002183373582861324,0.0022953642751236962,33.36458409197896,26.779352512007122,5.0
108,6.08,9,0.9,0.09999999999999998,0.9309995434221248,-156617.66686979277,-0.0023055365675859205,0.0020573439295658172,31.780178885722165,26.583970544633793,5.0
109,6.09,8,0.8,0.19999999999999996,0.7599587747216356,-156515.14138636118,-0.0023702618140173334,0.0024238965246199877,29.106325878194415,32.57768405696967,5.0
110,6.1,7,0.7000000000000001,0.29999999999999993,0.8639632279265415,-156455.2160482485,-0.00217920336591088,0.0022684452392684657,28.0037084342428,36.13422425072112,5.0
111,6.11,7,0.7000000000000001,0.29999999999999993,0.9679924944835514,-156361.7091225979,-0.0024616287044179896,0.0026170079786259825,32.20814728791698,38.13824176179636,5.0
112,6.12,8,0.8,0.19999999999999996,0.6523776833121129,-156495.80483793287,-0.002096122686648488,0.0026906705243014586,29.126752798074115,36.80659503601869,5.0
113,6.13,9,0.9,0.09999999999999998,0.9978922747276393,-156573.69585945655,-0.001971517993607389,0.002318440338491484,29.05839520047415,33.39283681462583,5.0
114,6.14,7,0.7000000000000001,0.29999999999999993,0.01026361963251937,-156338.98931242333,-0.0024294279334851018,0.0023115392699397845,31.172102666172165,31.472082895080494,5.0
115,6.15,6,0.6000000000000001,0.3999999999999999,0.9987792271983367,-156439.15797354918,-0.0024214567356505476,0.0024931856491459794,32.02197978408665,33.82222706014663,5.0
116,6.16,5,0.5,0.5,0.8511107334111577,-156363.11567640604,-0.002484691844712307,0.0029240795167137412,33.16077957257044,33.50400802403123,5.0
117,6.17,6,0.6000000000000001,0.3999999999999999,0.3109264236522939,-156219.3397001299,-0.0024790605328379764,0.0029301183095605103,34.05851746188127,30.225353760340646,5.0
118,6.18,5,0.5,0.5,0.5512289693467569,-156387.1385607369,-0.0022377526610857052,0.0021056128053286082,31.405808017998943,21.54404229015584,5.0
119,6.19,4,0.4,0.6,0.9697262132736795,-156336.19786026605,-0.0025265005002527868,0.002235566243416636,34.486035337900596,23.83107609374098,5.0
120,6.2,3,0.30000000000000004,0.7,0.5489020125838604,-156448.64702358106,-0.0027790868290925074,0.0030902170617296302,35.579873212616455,34.22663637983792,5.0
121,6.21,4,0.4,0.6,0.575565493842329,-156274.79035602865,-0.0026675972689399565,0.002712060571862791,35.784006120023335,31.268001881374442,5.0
122,6.22,3,0.30000000000000004,0.7,0.20341592218699123,-156313.45677272734,-0.0021736352625576928,0.0025257328202118122,30.481204208884634,29.11557437568474,5.0
123,6.23,2,0.2,0.8,0.92732550523374,-156361.7283787549,-0.002235750325342234,0.0028657661249874176,30.781433407813523,29.35892616577216,5.0
